,ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,additive_terms,additive_terms_lower,additive_terms_upper,weekly,weekly_lower,weekly_upper,yearly,yearly_lower,yearly_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,yhat
540,2022-06-28,-71200.01095237654,-533467.1630952595,579839.4225331014,-71200.01095237654,-71200.01095237654,102798.94087200242,102798.94087200242,102798.94087200242,-81127.27119447167,-81127.27119447167,-81127.27119447167,183926.21206647408,183926.21206647408,183926.21206647408,0.0,0.0,0.0,31598.92991962588
541,2022-06-29,-69990.38532369075,-536407.444857226,515575.4408803466,-69990.38532369075,-69990.38532369075,68294.27921264306,68294.27921264306,68294.27921264306,-117870.77078893656,-117870.77078893656,-117870.77078893656,186165.0500015796,186165.0500015796,186165.0500015796,0.0,0.0,0.0,-1696.1061110476876
542,2022-06-30,-68780.75969500472,-558115.1231888882,572388.5363462333,-68780.75969500472,-68780.75969500472,94626.09255969455,94626.09255969455,94626.09255969455,-93981.13104512592,-93981.13104512592,-93981.13104512592,188607.22360482046,188607.22360482046,188607.22360482046,0.0,0.0,0.0,25845.33286468983
543,2022-07-01,-67571.13406631892,-466452.658757795,612320.3242787546,-67571.13406631892,-67571.13406631892,113685.44881552353,113685.44881552353,113685.44881552353,-77490.38069530303,-77490.38069530303,-77490.38069530303,191175.8295108266,191175.8295108266,191175.8295108266,0.0,0.0,0.0,46114.31474920461
544,2022-07-06,-61523.00592288972,-529947.2597769635,542412.857724103,-61523.00592288972,-61523.00592288972,86178.15025169514,86178.15025169514,86178.15025169514,-117870.77078896467,-117870.77078896467,-117870.77078896467,204048.9210406598,204048.9210406598,204048.9210406598,0.0,0.0,0.0,24655.14432880542
545,2022-07-07,-60313.3802942037,-528495.4544682621,619440.3862188502,-60313.3802942037,-60313.3802942037,112496.05634545226,112496.05634545226,112496.05634545226,-93981.13104503187,-93981.13104503187,-93981.13104503187,206477.18739048412,206477.18739048412,206477.18739048412,0.0,0.0,0.0,52182.67605124856
546,2022-07-08,-59103.7546655179,-494635.9560159876,607916.8943928411,-59103.7546655179,-59103.7546655179,131399.7369954536,131399.7369954536,131399.7369954536,-77490.38069506308,-77490.38069506308,-77490.38069506308,208890.11769051666,208890.11769051666,208890.11769051666,0.0,0.0,0.0,72295.9823299357
547,2022-07-11,-55474.877779460294,-523159.8537442515,636999.1314941486,-55474.877779460294,-55474.877779460294,128985.42714182325,128985.42714182325,128985.42714182325,-87642.03535335547,-87642.03535335547,-87642.03535335547,216627.46249517874,216627.46249517874,216627.46249517874,0.0,0.0,0.0,73510.54936236296
548,2022-07-12,-54265.25215077438,-480369.65837229165,620777.9364009886,-54265.25215077438,-54265.25215077438,138515.74285266624,138515.74285266624,138515.74285266624,-81127.27119432893,-81127.27119432893,-81127.27119432893,219643.01404699514,219643.01404699514,219643.01404699514,0.0,0.0,0.0,84250.49070189186
549,2022-07-13,-53055.626522088474,-515201.0492133074,595517.2147151724,-53055.626522088474,-53055.626522088474,105168.21672784018,105168.21672784018,105168.21672784018,-117870.77078893663,-117870.77078893663,-117870.77078893663,223038.9875167768,223038.9875167768,223038.9875167768,0.0,0.0,0.0,52112.5902057517
550,2022-07-14,-51846.00089340268,-413807.83682776126,619171.5753569825,-51846.00089340268,-51846.00089340268,132940.57923748915,132940.57923748915,132940.57923748915,-93981.1310452861,-93981.1310452861,-93981.1310452861,226921.71028277525,226921.71028277525,226921.71028277525,0.0,0.0,0.0,81094.57834408648
551,2022-07-15,-50636.375264716764,-463297.1481230026,641666.5661209903,-50636.375264716764,-50636.375264716764,153907.56412666332,153907.56412666332,153907.56412666332,-77490.38069510878,-77490.38069510878,-77490.38069510878,231397.9448217721,231397.9448217721,231397.9448217721,0.0,0.0,0.0,103271.18886194655
552,2022-07-18,-47007.498378659155,-413762.1392288502,680611.8669314688,-47007.498378659155,-47007.498378659155,161729.14212797687,161729.14212797687,161729.14212797687,-87642.03535332531,-87642.03535332531,-87642.03535332531,249371.17748130218,249371.17748130218,249371.17748130218,0.0,0.0,0.0,114721.6437493177
553,2022-07-19,-45797.87274997336,-450204.861248541,674029.994680521,-45797.87274997336,-45797.87274997336,176019.46376971042,176019.46376971042,176019.46376971042,-81127.27119449578,-81127.27119449578,-81127.27119449578,257146.7349642062,257146.7349642062,257146.7349642062,0.0,0.0,0.0,130221.59101973707
554,2022-07-20,-44588.24712128745,-418619.0857131763,642112.8158213842,-44588.24712128745,-44588.24712128745,148035.33990770017,148035.33990770017,148035.33990770017,-117870.77078896473,-117870.77078896473,-117870.77078896473,265906.1106966649,265906.1106966649,265906.1106966649,0.0,0.0,0.0,103447.09278641272
555,2022-07-21,-43378.621492601655,-426438.7419380796,703690.3002080309,-43378.621492601655,-43378.621492601655,181689.74435787185,181689.74435787185,181689.74435787185,-93981.13104519201,-93981.13104519201,-93981.13104519201,275670.8754030639,275670.8754030639,275670.8754030639,0.0,0.0,0.0,138311.12286527018
556,2022-07-22,-42168.99586391575,-388235.6383475572,715095.8488414533,-42168.99586391575,-42168.99586391575,208946.03477325197,208946.03477325197,208946.03477325197,-77490.38069583231,-77490.38069583231,-77490.38069583231,286436.4154690843,286436.4154690843,286436.4154690843,0.0,0.0,0.0,166777.03890933623
557,2022-07-25,-38540.11897785813,-332697.64156311285,765462.4646030903,-38540.11897785813,-38540.11897785813,236623.0249736527,236623.0249736527,236623.0249736527,-87642.03535379645,-87642.03535379645,-87642.03535379645,324265.0603274491,324265.0603274491,324265.0603274491,0.0,0.0,0.0,198082.90599579457
558,2022-07-26,-37330.493349172226,-373139.1823540658,781244.893866435,-37330.493349172226,-37330.493349172226,257288.3513703898,257288.3513703898,257288.3513703898,-81127.2711944244,-81127.2711944244,-81127.2711944244,338415.6225648142,338415.6225648142,338415.6225648142,0.0,0.0,0.0,219957.85802121757
559,2022-07-27,-36120.86772048643,-332806.1554593893,748743.8641047193,-36120.86772048643,-36120.86772048643,235244.31520059434,235244.31520059434,235244.31520059434,-117870.77078892941,-117870.77078892941,-117870.77078892941,353115.08598952374,353115.08598952374,353115.08598952374,0.0,0.0,0.0,199123.44748010792
560,2022-07-28,-34911.24209179926,-287123.31329109863,797322.1195258267,-34911.24209179926,-34911.24209179926,274211.46781239944,274211.46781239944,274211.46781239944,-93981.13104509797,-93981.13104509797,-93981.13104509797,368192.5988574974,368192.5988574974,368192.5988574974,0.0,0.0,0.0,239300.22572060017
561,2022-07-29,-33289.44460848146,-265981.4741364085,836503.2443852352,-33289.44460848146,-33289.44460848146,305966.1406608353,305966.1406608353,305966.1406608353,-77490.380695878,-77490.380695878,-77490.380695878,383456.52135671326,383456.52135671326,383456.52135671326,0.0,0.0,0.0,272676.69605235383
562,2022-08-01,-28424.052158528553,-256047.80872457926,884985.6249545966,-28424.052158528553,-28424.052158528553,340591.6515707889,340591.6515707889,340591.6515707889,-87642.03535376626,-87642.03535376626,-87642.03535376626,428233.68692455516,428233.68692455516,428233.68692455516,0.0,0.0,0.0,312167.59941226034
563,2022-08-02,-26802.254675210763,-191660.1814779792,855892.6124849708,-26802.254675210763,-26802.254675210763,360948.38418668084,360948.38418668084,360948.38418668084,-81127.27119435303,-81127.27119435303,-81127.27119435303,442075.65538103384,442075.65538103384,442075.65538103384,0.0,0.0,0.0,334146.1295114701
564,2022-08-03,-25180.4571918932,-274943.5984227782,873410.2244782562,-25180.4571918932,-25180.4571918932,337135.9272467485,337135.9272467485,337135.9272467485,-117870.77078895754,-117870.77078895754,-117870.77078895754,455006.6980357061,455006.6980357061,455006.6980357061,0.0,0.0,0.0,311955.47005485534
565,2022-08-04,-23558.65970857541,-179074.67092992688,931840.6369540287,-23558.65970857541,-23558.65970857541,372839.7930498472,372839.7930498472,372839.7930498472,-93981.13104535219,-93981.13104535219,-93981.13104535219,466820.92409519944,466820.92409519944,466820.92409519944,0.0,0.0,0.0,349281.1333412718
566,2022-08-05,-21936.86222525762,-139911.62499668633,959805.164412655,-21936.86222525762,-21936.86222525762,399841.33087025216,399841.33087025216,399841.33087025216,-77490.38069506665,-77490.38069506665,-77490.38069506665,477331.7115653188,477331.7115653188,477331.7115653188,0.0,0.0,0.0,377904.46864499454
567,2022-08-08,-17071.469775304482,-191261.12311959208,949500.7438280035,-17071.469775304482,-17071.469775304482,411948.2910877644,411948.2910877644,411948.2910877644,-87642.03535373608,-87642.03535373608,-87642.03535373608,499590.3264415005,499590.3264415005,499590.3264415005,0.0,0.0,0.0,394876.8213124599
568,2022-08-09,-15449.672291986919,-170675.68247696233,974375.8527946343,-15449.672291986919,-15449.672291986919,422480.749827151,422480.749827151,422480.749827151,-81127.27119440521,-81127.27119440521,-81127.27119440521,503608.0210215562,503608.0210215562,503608.0210215562,0.0,0.0,0.0,407031.0775351641
569,2022-08-10,-13827.874808669128,-185501.6012738257,943567.9759482294,-13827.874808669128,-13827.874808669128,387999.9798246556,387999.9798246556,387999.9798246556,-117870.77078895754,-117870.77078895754,-117870.77078895754,505870.75061361305,505870.75061361305,505870.75061361305,0.0,0.0,0.0,374172.1050159864
570,2022-08-11,-12206.077325351569,-136489.34619888247,947948.1188827693,-12206.077325351569,-12206.077325351569,412431.5835313196,412431.5835313196,412431.5835313196,-93981.13104525811,-93981.13104525811,-93981.13104525811,506412.71457657765,506412.71457657765,506412.71457657765,0.0,0.0,0.0,400225.506205968
571,2022-08-12,-10584.279842033779,-120149.99306795845,992690.2839966164,-10584.279842033779,-10584.279842033779,427823.93925938325,427823.93925938325,427823.93925938325,-77490.38069607588,-77490.38069607588,-77490.38069607588,505314.3199554591,505314.3199554591,505314.3199554591,0.0,0.0,0.0,417239.6594173495
572,2022-08-16,-4097.089908763076,-195415.86450662152,945710.4207142217,-4097.089908763076,-4097.089908763076,406556.8888301838,406556.8888301838,406556.8888301838,-81127.27119421029,-81127.27119421029,-81127.27119421029,487684.1600243941,487684.1600243941,487684.1600243941,0.0,0.0,0.0,402459.7989214207
573,2022-08-17,-2475.292425445286,-228619.4483690786,901905.9123876608,-2475.292425445286,-2475.292425445286,363236.2291172548,363236.2291172548,363236.2291172548,-117870.77078895757,-117870.77078895757,-117870.77078895757,481106.9999062123,481106.9999062123,481106.9999062123,0.0,0.0,0.0,360760.9366918095
574,2022-08-18,-853.4949421277252,-188243.98802632187,908292.584632904,-853.4949421277252,-853.4949421277252,380248.52016329824,380248.52016329824,380248.52016329824,-93981.1310451155,-93981.1310451155,-93981.1310451155,474229.6512084137,474229.6512084137,474229.6512084137,0.0,0.0,0.0,379395.0252211705
575,2022-08-19,768.3025411900652,-157933.83651903275,897066.9277822449,768.3025411900652,768.3025411900652,389883.13906683266,389883.13906683266,389883.13906683266,-77490.38069583589,-77490.38069583589,-77490.38069583589,467373.5197626685,467373.5197626685,467373.5197626685,0.0,0.0,0.0,390651.4416080227
576,2022-08-22,5633.694991143207,-189771.03282823035,902767.5067642485,5633.694991143207,5633.694991143207,362581.5035178347,362581.5035178347,362581.5035178347,-87642.03535327702,-87642.03535327702,-87642.03535327702,450223.53887111176,450223.53887111176,450223.53887111176,0.0,0.0,0.0,368215.1985089779
577,2022-08-23,7255.492474460997,-134953.2152197854,886026.1618119536,7255.492474460997,7255.492474460997,365577.46505033795,365577.46505033795,365577.46505033795,-81127.27119450064,-81127.27119450064,-81127.27119450064,446704.73624483857,446704.73624483857,446704.73624483857,0.0,0.0,0.0,372832.9575247989
578,2022-08-24,8877.289957778557,-223437.04441195432,909927.7254529836,8877.289957778557,8877.289957778557,326890.97979014786,326890.97979014786,326890.97979014786,-117870.77078895761,-117870.77078895761,-117870.77078895761,444761.75057910546,444761.75057910546,444761.75057910546,0.0,0.0,0.0,335768.2697479264
