,ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,additive_terms,additive_terms_lower,additive_terms_upper,weekly,weekly_lower,weekly_upper,yearly,yearly_lower,yearly_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,yhat
871,2023-08-24,704706.5482115002,376113.80277344055,1824631.3224646072,267392.9214630489,1130858.4126697367,370172.19451379636,370172.19451379636,370172.19451379636,-105589.1513637644,-105589.1513637644,-105589.1513637644,475761.3458775608,475761.3458775608,475761.3458775608,0.0,0.0,0.0,1074878.7427252964
872,2023-08-25,706626.0895039407,360779.20875157753,1807216.744901543,262419.38650613243,1137409.3919329157,386130.8780471876,386130.8780471876,386130.8780471876,-87975.92612999276,-87975.92612999276,-87975.92612999276,474106.80417718034,474106.80417718034,474106.80417718034,0.0,0.0,0.0,1092756.9675511282
873,2023-08-26,708545.6307963815,667642.9253918332,2199001.495900021,258813.9147714335,1148080.7928686293,731068.6486249166,731068.6486249166,731068.6486249166,256630.44333345263,256630.44333345263,256630.44333345263,474438.2052914639,474438.2052914639,474438.2052914639,0.0,0.0,0.0,1439614.279421298
874,2023-08-27,710465.172088822,716762.5404496439,2226138.8217829396,257266.65002635645,1156174.0436400862,733537.644558328,733537.644558328,733537.644558328,256630.4169132415,256630.4169132415,256630.4169132415,476907.2276450864,476907.2276450864,476907.2276450864,0.0,0.0,0.0,1444002.81664715
875,2023-08-28,712384.7133812628,370203.5892811965,1829546.4231759636,255471.19930375976,1163620.1076697467,383163.8787117939,383163.8787117939,383163.8787117939,-98442.44012306977,-98442.44012306977,-98442.44012306977,481606.31883486366,481606.31883486366,481606.31883486366,0.0,0.0,0.0,1095548.5920930568
876,2023-08-29,714304.2546737037,361416.3108984223,1850415.3935559206,253820.88770356937,1170587.9034869461,396426.48810203944,396426.48810203944,396426.48810203944,-92136.68751315045,-92136.68751315045,-92136.68751315045,488563.1756151899,488563.1756151899,488563.1756151899,0.0,0.0,0.0,1110730.7427757431
877,2023-08-30,716223.7959661442,316578.6072664094,1806078.0031350835,252170.5761033786,1177374.9028660958,368619.99445478304,368619.99445478304,368619.99445478304,-129116.65511645652,-129116.65511645652,-129116.65511645652,497736.64957123954,497736.64957123954,497736.64957123954,0.0,0.0,0.0,1084843.790420927
878,2023-08-31,718143.3372585846,393824.99100019113,1938709.0368441339,250520.2645031878,1184488.674071488,403425.0767743824,403425.0767743824,403425.0767743824,-105589.15136340386,-105589.15136340386,-105589.15136340386,509014.2281377862,509014.2281377862,509014.2281377862,0.0,0.0,0.0,1121568.4140329668
879,2023-09-01,720062.8785510259,343833.5781627141,1912328.1547251572,248869.95290299793,1193770.1235807624,434235.27788611467,434235.27788611467,434235.27788611467,-87975.92613003863,-87975.92613003863,-87975.92613003863,522211.2040161533,522211.2040161533,522211.2040161533,0.0,0.0,0.0,1154298.1564371404
880,2023-09-02,721982.4198434664,772536.5741123294,2264614.590523079,245054.01435377978,1198017.8788095333,793702.0490302702,793702.0490302702,793702.0490302702,256630.44333353738,256630.44333353738,256630.44333353738,537071.6056967329,537071.6056967329,537071.6056967329,0.0,0.0,0.0,1515684.4688737364
